no	sub_topic	title	content	detail_content	link_1	link_2	link_3	link_4	link_5	link_6	link_7	link_8	link_9	link_10	link_11	link_12	link_13	link_14	link_15	link_16	link_17	link_18	link_19	link_20
81	Permissions	Permissions	PERMISSIONS  Permissions determine the ways different users can interact with a file or directory. When listing a file with the ls -l command, the output includes permission information. For the example we will use a script called hello.sh located in the Documents directory: gambar 1  FILE TYPE FIELD   -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  The first character of this output indicates the type of a file. Recall that if the first character is a -, this is a regular file. If the character was a d, it would be a directory.  PERMISSIONS FIELD  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  After the file type character, the permissions are displayed. The permissions are broken into three sets of three characters:  OWNER  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  The first set is for the user who owns the file. If your current account is the user owner of the file, then the first set of the three permissions will apply and the other permissions have no effect.  The user who owns the file, and who these permissions apply to, can be determined by the user owner field:  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  GROUP  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  The second set is for the group that owns the file. If your current account is not the user owner of the file and you are a member of the group that owns the file, then the group permissions will apply and the other permissions have no effect.  The group for this file can be determined by the group owner field:  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  OTHER  -rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  The last set is for everyone else, any one who that first two sets of permissions do not apply to. If you are not the user who owns the file or a member of the group that owns the file, the third set of permissions applies to you.  PERMISSIONS TYPE There are three different permissions that can be placed on a file or directory: read, write, and execute. The manner in which these permissions apply differs for files and directories, as shown in the chart below: gambar 1	[     {         "title": "Consider This",         "content": " Understanding which permissions apply is an important skill set in Linux. For example, consider the following set of permissions: -r--rw-rwx. 1 sysadmin staff 999 Apr  10  2013 /home/sysadmin/test In this scenario, the user sysadmin ends up having less access to this file than members of the staff group or everyone else. The user sysadmin only has the permissions of r--. It doesn't matter if sysadmin is a member of the staff group; once user ownership has been established, only the user owner's permissions apply. "     } ]	https://drive.google.com/file/d/1scUFxByjoMTEbm4ZIzOFJLao4pWYy1Dd/view?usp=share_link																			
82	Changing File Permissions	Changing File Permissions	CHANGING FILE PERMISSIONS  The chmod command is used to change the permissions of a file or directory. Only the root user or the user who owns the file is able to change the permissions of a file.  There are two techniques for changing permissions with the chmod command: symbolic and octal. The symbolic method is good for changing one set of permissions at a time. The octal or numeric method requires knowledge of the octal value of each of the permissions and requires all three sets of permissions (user, group, other) to be specified every time. For the sake of simplicity, only the symbolic method will be covered. To learn more about the octal method check out NDG Linux Essentials!  THE SYMBOLIC METHOD  chmod [<SET><ACTION><PERMISSIONS>]... FILE To use the symbolic method of chmod first indicate which set of permissions is being changed:\nchmod [<SET><ACTION><PERMISSIONS>]... FILE \nSymbol Meaning \nu User: The user who owns the file.\ng Group: The group who owns the file.\no Others: Anyone other than the user owner or member of the group owner.\na All: Refers to the user, group and others.  \nNext, specify an action symbol:\nchmod [<SET><ACTION><PERMISSIONS>]... FILE \nSymbol Meaning \n+ Add the permission, if necessary \n= Specify the exact permission \n- Remove the permission, if necessary \nAfter an action symbol, specify one or more permissions to be acted upon. \nchmod [<SET><ACTION><PERMISSIONS>]... FILE \nSymbol Meaning \nr read \nw write \nx execute \nFinally, a space and the pathnames for the files to assign those permissions. \nchmod [<SET><ACTION><PERMISSIONS>]... FILE \nThe file hello.sh used in the examples on the previous page is a script.  However currently, the execute permission is not set for any of the permission groups: \n-rw-r--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh   Since the system is currently logged in as the sysadmin user, and sysadmin is the owner of this file, giving the user owner the execute permission should allow you to execute this script. Using the chmod command with the u character to represent the user owner permission set, the + character to indicate a permission is being added, and the x character to represent the execute permission  chmod u+x hello.sh  The user owner now has the execute permission listed: \n-rwxr--r-- 1 sysadmin sysadmin 647 Dec 20  2017 hello.sh  \nFinally, attempt to execute the script again. Use the command syntax shown below: \n./hello.sh	[     {         "title": "Consider This",         "content": "Why is the command named chmod instead of chperm? Permissions used to be referred to as modes of access, so the command chmod really means change the modes of access."     } ]																				
83	Changing File Ownership	Changing File Ownership	CHANGING FILE OWNERSHIP   Initially, the owner of a file is the user who creates it. The chown command is used to change the ownership of files and directories. Changing the user owner requires administrative access. A regular user cannot use this command to change the user owner of a file, even to give the ownership of one of their own files to another user. However, the chown command also permits changing group ownership, which can be accomplished by either root or the owner of the file.  To change the user owner of a file, the following syntax can be used. The first argument, [OWNER], specifies which user is to be the new owner. The second argument, FILE, specifies which file's ownership is changing.  chown [OPTIONS] [OWNER] FILE   Currently all the files in the Documents directory are owned by the sysadmin user. This can be verified by using the ls -l command. Recall that the third column indicates the user owner. gambar 1  To switch the owner of the hello.sh script to the root user, use root as the first argument and hello.sh as the second argument. Don't forget to use the sudo command in order to gain the necessary administrative privileges. Use password netlab123 if prompted: gambar 2  Confirm the user owner has changed by executing the ls -l command. Use the filename as an argument to limit the output: gambar 3  The user owner field is now root indicating the change was successful.  -rwxr--r-- 1 root sysadmin 647 Dec 20  2017 hello.sh	[     {         "title": "Consider This",         "content": " Try executing the hello.sh script again. It fails! Why? gambar 4  Only the user owner has the execute permission, and now the root user is the user owner. This file now requires administrative access to execute. Use the sudo command to execute the script as the root user. gambar 5 "     } ]	https://drive.google.com/file/d/1p8vgGWMcysjF7iExml2AboaA8bxlzmCT/view?usp=drive_link	https://drive.google.com/file/d/1SaBbfnIJ_x7X-N4UpFnKnXiwZf2oSTO3/view?usp=drive_link	https://drive.google.com/file/d/16YBv7gNEkbNAzxA5TWhPQrdKALqzDnE1/view?usp=drive_link	https://drive.google.com/file/d/1FD5JqwHNNdWEyCd01yNKP68lUN4YffX7/view?usp=drive_link	https://drive.google.com/file/d/19mDlyXWGBsVIsdzvJ0CV-zErbOjvk3Qu/view?usp=drive_link															
84	Viewing Files	Viewing Files	VIEWING FILES  There are a few Linux commands available to view the content of files. The cat command, which stands for “concatenate”, is often used to quickly view the contents of small files.  The cat command will display the entire contents of the file, hence why it is mainly recommended for smaller files where the output is limited and does not require scrolling. To view the contents of a file using the cat command, simply type the command and use the name of the file you wish to view as the argument:  cat [OPTIONS] [FILE]  Our VM has a few small text files that you can view with the cat command. One such file is the animals.txt file: gambar 1  The cat command displays all five lines of the file above. When viewing larger files, the cat command can result in very lengthy output that cannot be paused to scroll through. A better method of viewing long text files, is with a pager command which has a functionality that can pause and scroll through the output of the file.  Another way to view the content of files is by using the head and tail commands. These commands are used to view a select number of lines from the top or bottom of a file. Taking a look at a few lines of a file can sometimes be helpful to ensure that the file is the one you want to use. \nAnother reason to preview only the first or last few lines, is because some files, such as system log files are frequently updated with new entries. Similar to the cat command, the head and tail commands use the name of the file you want to view as the argument to the command: \nhead [OPTIONS] [FILE] \ntail [OPTIONS] [FILE] \nTo compare the output of the head and tail commands with that of the cat command, use the cat command to view the entire alpha.txt file: gambar 2  In the example above, all twenty-six lines of the file are displayed. \nTo filter the output and view lines from the top of the alpha.txt file, use the head command: gambar 3  Then, to view lines at the bottom of the alpha.txt file, you use the tail command: gambar 4  By examining the output of the head and tail commands above, you can see that the default behavior of the head and tail commands in this shell is to display ten lines. \nThe -n option with the head and tail commands can be used to specify the amount of lines to display. To use the -n option, specify the amount of lines from the file you want to display after the option and use the filename as an argument: \nhead -n number_of_lines filename \nFor example, to change the output of the head command to view the first five lines of the alpha.txt file: gambar 5  View the last five lines of the alpha.txt file: gambar 6	[     {         "title": "Note",         "content": " Examples of pager commands include the more and less commands. These and additional commands used for viewing files in Linux are covered in NDG Linux Essentials. "     } ]	https://drive.google.com/file/d/1l8uCq_Qe0Uaky_wqv3ziLiYKdYGqbXqv/view?usp=drive_link	https://drive.google.com/file/d/1FDzsOG8oPcC_gxjYuNiGZjxWZ1ZR4ZGD/view?usp=drive_link	https://drive.google.com/file/d/1D6nXeIUrXcwia9MWsCe8Sj14ajC6E5IO/view?usp=drive_link	https://drive.google.com/file/d/1zvCHdRXd2320JV-UF7DERDoJhNfD7v5t/view?usp=drive_link	https://drive.google.com/file/d/1Wg0W19DnzS-psFHF_2pAb42Ob2uW2J35/view?usp=drive_link	https://drive.google.com/file/d/1mVLiTryskeAIfI8HsnuApfc1R5q-IJxV/view?usp=drive_link														
85	Copying Files	Copying Files	COPYNG FILES  Creating copies of files can be useful for numerous reasons:  If a copy of a file is created before changes are made, then it is possible to revert back to the original. A copy of a file can be used to transfer a file to removable media devices. A copy of an existing document can be used as a template for a new document.  cp [OPTIONS] SOURCE DESTINATION  The cp command is used to copy files. Similar to the mv command, it requires at least two arguments: a source and a destination. For example, to copy the /etc/passwd file to the current directory, use the following command:   cp /etc/passwd .  The result of executing the previous command would create a copy of the contents of the /etc/passwd file in the Documents directory, since that is our current directory. This can be confirmed using the ls command: gambar 1   	[     {         "title": "Consider This",         "content": " Permissions can have an impact on file management commands, such as the cp command. In order to copy a file, it is necessary to have execute permission to access the directory where the file is located and the read permission for the file being copied. \nIt is also necessary to have write and execute permission on the directory the file is being copied to. Typically, there are two places where you should always have write and execute permission on the directory: your home directory and the /tmp directory. "     } ]	https://drive.google.com/file/d/1AOdkW3qT3cCikFhxpJAAVyZOafWvcN0I/view?usp=drive_link																			
86	Copying Files	Copying Files	COPYNG FILES  The dd command is a utility for copying files or entire partitions at the bit level. \ndd [OPTIONS] OPERAND \nThis command has several useful features, including: \nIt can be used to clone or delete (wipe) entire disks or partitions. \nIt can be used to copy raw data to removable devices, such as USB drives and CDROMs. \nIt can backup and restore the MBR (Master Boot Record). \nIt can be used to create a file of a specific size that is filled with binary zeros, which can then be used as a swap file (virtual memory). \nLet's examine the following example. The dd command creates a file named /tmp/swapex with 50 blocks of zeros that are one megabyte in size: gambar 1  The dd command uses special arguments to specify how it will work. The following illustrates some of the more commonly used arguments: gambar 2	[     {         "title": "Consider This",         "content": " No block size or count needs to be specified when copying over entire devices. For example, to clone from one hard drive (/dev/sda) to another (/dev/sdb) execute the following command: dd if=/dev/sda of=/dev/sdb "     } ]	https://drive.google.com/file/d/1w70ePlBkA3VpiZhH2SEwjZesuqSAMjE-/view?usp=drive_link	https://drive.google.com/file/d/1oOqpPwKk8ILc73aBVJYDwJujFzOS9wi8/view?usp=drive_link																		
87	Moving Files	Moving Files	MOVING FILES  The mv command is used to move a file from one location in the filesystem to another.  mv SOURCE DESTINATION  The mv command requires at least two arguments. The first argument is the source, a path to the file to be moved. The second argument is the destination, a path to where the file will be moved to. The files to be moved are sometimes referred to as the source, and the place where the files are to be placed is called the destination.  To move the people.csv file into the Work directory, use the filename as the source, and the directory name as the destination:  mv people.csv Work     If a file is moved from one directory to another without specifying a new name for the file, it will retain its original name. The move above can be confirmed using the ls command on the Work directory:  ls Work  The mv command is able to move multiple files, as long as the final argument provided to the command is the destination. For example, to move three files into the School directory: gambar 1  Moving a file within the same directory is an effective way to rename it. For example, in the following example the animals.txt file is given a new name of zoo.txt: \nmv animals.txt zoo.txt  gambar 2	[     {         "title": "Consider This",         "content": " Permissions can have an impact on file management commands, such as the mv command. Moving a file requires write and execute permissions on both the origin and destination directories."     } ]	https://drive.google.com/file/d/1t1cRUYjzQ3fukWXn_xMYVQF1NNzZdt4W/view?usp=drive_link	https://drive.google.com/file/d/1Bk3KSk_eSn1uDVACw3n_WWqq1hpAdjEs/view?usp=drive_link																		
88	Removing Files	Removing Files	REMOVING FILES   The rm command is used to delete files and directories. It is important to keep in mind that deleted files and directories do not go into a "trash can" as with desktop-oriented operating systems. When a file is deleted with the rm command, it is almost always permanently gone. \nrm [OPTIONS] FILE  Without any options, the rm command is typically used to remove regular files: gambar 1  The rm command will ignore directories that it's asked to remove; to delete a directory, use a recursive option, either the -r or -R options. Just be careful since these options are "recursive", this will delete all files and all subdirectories: gambar 2	[     {         "title": "Consider This",         "content": " Permissions can have an impact on file management commands, such as the rm command. To delete a file within a directory, a user must have write and execute permission on a directory. Regular users typically only have this type of permission in their home directory and its subdirectories. "     }, { "title": "Warning", "content": "The rm command removes files permanently. To repeat the examples above, reset the terminal using the reset button."} ]	https://drive.google.com/file/d/16bIsIp8jWmnO87wgJBsBm9L_3MbIjwaQ/view?usp=drive_link	https://drive.google.com/file/d/18g6z3OYk3DP0V0XAb0UZZhKN_WeTLB2I/view?usp=drive_link																		
89	Filtering Input	Filtering Input	FILTERING INPUT   The grep command is a text filter that will search input and return lines which contain a match to a given pattern. \ngrep [OPTIONS] PATTERN [FILE]  For example, the passwd file we previously copied into the Documents directory contains the details of special system accounts and user accounts on the system. This file can be very large, however the grep command can be used to filter out information about a specific user, such as the sysadmin user. Use sysadmin as the pattern argument and passwd as the file argument: gambar 1  The command above returned the line from the passwd which contains the pattern sysadmin.  The example above uses a simple search term as the pattern, however grep is able to interpret much more complex search patterns.	[     {         "title": "Follow Along",         "content": " Use the following command to switch to the Documents directory: cd ~/Documents If the example below fails, repeat the example from Section 11: Copying Files: cp /etc/passwd . "     }, {         "title": "Note",         "content": " This line is the /etc/passwd entry pertaining to the user sysadmin and provides information that is beyond the scope of this course. To learn more about this file, check out NDG Linux Essentials. "     } ]	https://drive.google.com/file/d/1UieqkwtvP6w3Bfx8beAss2GlfhvsxUZ7/view?usp=drive_link																			
90	Filtering Input	Regular Expressions	REGULAR EXPRESSIONS  Regular expressions have two common forms: basic and extended. Most commands that use regular expressions can interpret basic regular expressions. However, extended regular expressions are not available for all commands and a command option is typically required for them to work correctly. \nThe following table summarizes basic regular expression characters: gambar 1  The following table summarizes the extended regular expressions, which must be used with either the egrep command or the -E option with the grep command: gambar 2	[     {         "title": "Consider This",         "content": " Understanding which permissions apply is an important skill set in Linux. For example, consider the following set of permissions: -r--rw-rwx. 1 sysadmin staff 999 Apr  10  2013 /home/sysadmin/test In this scenario, the user sysadmin ends up having less access to this file than members of the staff group or everyone else. The user sysadmin only has the permissions of r--. It doesn't matter if sysadmin is a member of the staff group; once user ownership has been established, only the user owner's permissions apply. "     } ]	https://drive.google.com/file/d/17XP1wRT_PqOV-e3GWQeVfuBsAfGBiqXP/view?usp=drive_link	https://drive.google.com/file/d/1f76MtClpBvkk-9PAmW5Kg0yfAFlvdhD2/view?usp=drive_link																		
91	Filtering Input	Basic Patterns	BASIC PATTERNS  Regular expressions are patterns that only certain commands are able to interpret. Regular expressions can be expanded to match certain sequences of characters in text. The examples displayed on this page will make use of regular expressions to demonstrate their power when used with the grep command. In addition, these examples provide a very visual demonstration of how regular expressions work, the text that matches will be displayed in a red color.  The simplest of all regular expressions use only literal characters, like the example from the previous page: gambar 1  ANCHOR CHARACTERS  Anchor characters are one of the ways regular expressions can be used to narrow down search results. For example, the pattern root appears many times in the /etc/passwd file: gambar 2  The first anchor character ^ is used to ensure that a pattern appears at the beginning of the line. For example, to find all lines in /etc/passwd that start with root use the pattern ^root. Note that ^ must be the first character in the pattern to be effective. gambar 3  For the next example, first examine the alpha-first.txt file. The cat command can be used to print the contents of a file: gambar 4  The second anchor character $ can be used to ensure a pattern appears at the end of the line, thereby effectively reducing the search results. To find the lines that end with an r in the alpha-first.txt file, use the pattern r$: gambar 5  Again, the position of this character is important, the $ must be the last character in the pattern in order to be effective as an anchor.  MATCH A SINGLE CHARACTER WITH .   The following examples will use the red.txt file: gambar 6  One of the most useful expressions is the period . character. It will match any character except for the new line character. The pattern r..f would find any line that contained the letter r followed by exactly two characters (which can be any character except a newline) and then the letter f: gambar 7  The same concept can be repeated using other combinations. The following will find four letter words that start with r and with d: gambar 8  This character can be used any number of times. To find all words that have at least four characters the following pattern can be used: gambar 9  The line does not have to be an exact match, it simply must contain the pattern, as seen here when r..t is searched for in the /etc/passwd file: gambar 10  MATCH A SINGLE CHARACTER WITH [ ]  The square brackets [ ] match a single character from the list or range of possible characters contained within the brackets.\nFor example, given the profile.txt file: gambar 11  To find all the lines in the profile.txt which have a number in them, use the pattern [0123456789] or [0-9]: gambar 12  On the other hand, to find all the lines which contain any non-numeric characters, insert a ^ as the first character inside the brackets. This character negates the characters listed: gambar 13  When other regular expression characters are placed inside of square brackets, they are treated as literal characters. For example, the . normally matches any one character, but placed inside the square brackets, then it will just match itself. In the next example, only lines which contain the . character are matched. gambar 14  MATCH A REPEATED CHARACTER OR PATTERNS WITH *   The regular expression character * is used to match zero or more occurrences of a character or pattern preceding it. For example e* would match zero or more occurrences of the letter e: gambar 15  It is also possible to match zero or more occurrences of a list of characters by utilizing the square brackets. The pattern [oe]* used in the following example will match zero or more occurrences of the o character or the e character: gambar 16  When used with only one other character, * isn't very helpful. Any of the following patterns would match every string or line in the file: .* e* b* z*. gambar 17  gambar 18  This is because * can match zero occurrences of a pattern. In order to make the * useful, it is necessary to create a pattern which includes more than just the one character preceding *. For example, the results above can be refined by adding another e to make the pattern ee* effectively matching every line which contains at least one e. gambar 19  STANDART INPUT If a file name is not given, the grep command will read from standard input, which normally comes from the keyboard with input provided by the user who runs the command. This provides an interactive experience with grep where the user types in the input and grep filters as it goes. Feel free to try it out, just press Ctrl-D when you're ready to return to the prompt. gambar 20 	[     {         "title": "Note",         "content": " Do not mistake [^0-9] to match lines which do not contain numbers. It actually matches lines which contain non-numbers. Look at the original file to see the difference. The third and sixth lines only contain numbers, they do not contain non-numbers so those lines do not match. "     } ]	https://drive.google.com/file/d/1Z_WzrOoVwhXA1rSqg8rt8pED__vc_86a/view?usp=drive_link	https://drive.google.com/file/d/1tTGRjkQnXYaVEAKI0doIJWgpMNmCmWht/view?usp=drive_link	https://drive.google.com/file/d/1MSJ5nW38RdhCMKgHmI_w15LQhO0uU6PL/view?usp=drive_link	https://drive.google.com/file/d/1qW7zo_uwsDUd5-fVr-4V5GswTL1Tjenc/view?usp=drive_link	https://drive.google.com/file/d/1MFZEw40PFmcdH0e1o9i3vketOq_1Q3yp/view?usp=drive_link	https://drive.google.com/file/d/12fuNKZOcFf3mXfSyT3By2QoR-0TCTNTv/view?usp=drive_link	https://drive.google.com/file/d/1kwmVHGuFoMPu6mSo9Y_W65kAcM1JISL1/view?usp=drive_link	https://drive.google.com/file/d/1k5DMAQdjDgLNqjxQyLuFSgRqMmrP9plU/view?usp=drive_link	https://drive.google.com/file/d/1ldYDkU7cEql9WLYPtMDihjTlhj4Ovhg5/view?usp=drive_link	https://drive.google.com/file/d/1jJfxNDaIVqbfzztq5dJ4GgIRH2ym7PZi/view?usp=drive_link	https://drive.google.com/file/d/1Cbjn120YoIXY4_0hXuJwyN3E14PTxPrx/view?usp=drive_link	https://drive.google.com/file/d/1fgCKySu8d2Y3Xmhh_NtP-0t6eRnYxVmD/view?usp=drive_link	https://drive.google.com/file/d/1uT95aGnCfHXKCMe2tR7nM0DOobnO5smi/view?usp=drive_link	https://drive.google.com/file/d/17CqbDDRVMbonmo0I_ggz13QjPf51bO5v/view?usp=drive_link	https://drive.google.com/file/d/1Awjm0QhHjzzyT5fc0JKgPqGowdTh39Ga/view?usp=drive_link	https://drive.google.com/file/d/1LP0fK2UXKhYBkglJkSYmmZmoirL0MNny/view?usp=drive_link	https://drive.google.com/file/d/1bdFtrc0rWaYnRZA-WWAevUluU26kE0HW/view?usp=drive_link	https://drive.google.com/file/d/1B9BfHz3yVBvqz52DG8BCzVLfwvc6tLPJ/view?usp=drive_link	https://drive.google.com/file/d/1f6vUjCz1tWwAqUExN5FHhghmjdL2lgwY/view?usp=drive_link	https://ndg-content-dev.s3.amazonaws.com/media/images/linux-essentials/comptia_1.gif
92	Shutting Down	Shutting Down	SHUTTING DOWN  The shutdown command arranges for the system to be brought down in a safe way. All logged-in users are notified that the system is going down and within the last five minutes leading up to the shutdown, new logins are prevented. \nshutdown [OPTIONS] TIME [MESSAGE] gambar 1  Unlike other commands used to bring the system down, the shutdown command requires a time argument specifying when the shutdown should begin. Formats of this time argument can be the word now, a time of day in the format hh:mm or the number of minutes to delay in the format +minutes. gambar 2  The shutdown command also has an optional message argument, indicating a message that will appear in the terminals of all users. For example: gambar 3	[     {         "title": "Follow Along",         "content": " The shutdown command requires administrative access, switch to the root account for this section using the following command. Use netlab123 as the password. gambar 4 "     }, {"title": "Consider This", "content": "The clock on our system may be set to a different timezone than the one in which you are located. To check the time in the terminal, use the date command. On our machines, the default format of the date command output is as follows: weekday month day hour:minute:second UTC year. The letters UTC present in the output indicates that the time is being displayed as Universal Coordinated Time."} ]	https://drive.google.com/file/d/1ZJxuWNQDQho866cWmo6EfVAqGD6S1-aK/view?usp=drive_link	https://drive.google.com/file/d/1PRezpQzq7Tdg5BiL6TIVPElA45EUcfvh/view?usp=drive_link	https://drive.google.com/file/d/1M0FUk-7LeS0tYqgeQiWI5TvKsuGDn7Ft/view?usp=drive_link	https://drive.google.com/file/d/1pcUXvUUKIDTuU52UfzY9nw83LPBPWfIW/view?usp=drive_link																
93	Network Configuration	Network Configuration	NETWORK CONFIGURATION  The ifconfig command stands for "interface configuration" and is used to display network configuration information.  ifconfig [OPTIONS]   Not all network settings are important for this module, but it is important to note in the following example that the IPv4 address of the primary network device eth0 is 192.168.1.2 and that the device is currently active (UP): gambar 1  The ifconfig command can also be used to temporarily modify network settings. Typically these changes should be permanent, so using the ifconfig command to make such changes is fairly rare.  The ping command is used to verify connectivity between two computers. It does this by sending packets to another machine on a network. If the sender receives a response it should be possible to connect to that machine.  Information is sent using “packets”; the encapsulated unit of data sent over a network. In order for the packets to find the other computer, they will need an address. The ping command uses IP addresses to identify a computer on the network that it wants to connect to.  By default, the ping command will continue sending packets until the break command (CTL + C) is entered at the console. To limit how many pings are sent, use the -c option followed by the number of pings to be sent. The example below shows ping being limited to 4 iterations with -c 4.  If the ping command is successful, you will see output like the following: gambar 2  If the ping command fails, you will receive a message stating, Destination Host Unreachable: gambar 3  The ping command may fail even though the remote machine is connecting. This is because some administrators configure their machines, or even entire networks, not to respond to ping requests as a security measure. The ping command also works with a hostname, or domain name like yahoo.com. Using this first saves time, if that ping command is successful, there is proper name resolution AND the IP address is functioning properly as well.	[     {         "title": "Consider This",         "content": " The lo device is referred to as the loopback device. It is a special network device used by the system when sending network-based data to itself. "     }, { "title": "Follow Along", "content": "Exit the root account using the exit command:  exit "} ]	https://drive.google.com/file/d/1tTkuRoy4LFglvLNylUw9y6gKeHlTRNsY/view?usp=drive_link	https://drive.google.com/file/d/1IC394mh2GdRXxZ31CpdSvcxQeWVRhNgx/view?usp=drive_link	https://drive.google.com/file/d/1n4E68b-qSSbEaAt4OK8yFVOxSrmKdrLy/view?usp=drive_link																	
94	Viewing Processes	Viewing Processes	VIEWING PROCESSES  Running a command results in something called a process. In the Linux operating system, processes are executed with the privileges of the user who executes the command. This allows for processes to be limited to certain capabilities based upon the user identity.  Although there are exceptions, generally the operating system will differentiate users based upon whether they are the administrator. Typically regular users, like the sysadmin user, cannot control another user's processes. Users who have administrative privileges, like the root account, can control any user processes, including stopping any user process.  The ps command can be used to list processes.  ps [OPTIONS] gambar 1  The ps command will display the processes that are running in the current terminal by default. In the example above, the bottom line is the process created by the execution of the ps command. The output includes the following columns of information:  PID: The process identifier, which is unique to the process. This information is useful for controlling the process by its ID number.  TTY: The name of the terminal where the process is running. This information is useful for distinguishing between different processes that have the same name.  TIME: The total amount of processor time used by the process. Typically, this information isn't used by regular users.  CMD: The command that started the process.  Instead of viewing just the processes running in the current terminal, users may want to view every process running on the system. The -e option will display every process: gambar 2  Typically, the -f option is also used as it provides more detail in the output of the command, including options and arguments. Look for the ps command on the last line, the CMD column now includes the options used: gambar 3 		https://drive.google.com/file/d/1kVutwcQZ4HrKgP5Xn2nH1wRt9YXQK-u5/view?usp=drive_link	https://drive.google.com/file/d/1obYXvwG7qqwKb8vo4ly_szvoI8OPHNx1/view?usp=drive_link	https://drive.google.com/file/d/10UeoSGkD6GDNZw7alHe_c57ATOCCFyTd/view?usp=drive_link																	
95	Package Management	Package Management	PACKAGE MANAGEMENT  Package management is a system by which software can be installed, updated, queried or removed from a filesystem. In Linux, there are many different software package management systems, but the two most popular are those from Debian and Red Hat. The virtual machines for this course use Ubuntu, a derivative of Debian. \nAt the lowest level of the Debian package management system is the dpkg command. This command can be tricky for novice Linux users, so the Advanced Package Tool, apt-get, a front-end program to the dpkg tool, makes management of packages even easier.  INSTALLING PACKAGES  Package files are commonly installed by downloading them directly from repositories located on Internet servers. The Debian repositories contain more than 65,000 different packages of software. Before installing a package, it is good practice to refresh the list of available packages using the apt-get update command. \nPlease allow a few minutes for the following commands to execute. \nsudo apt-get update gambar 1  To search for keywords within these packages, you can use the apt-cache search command. \napt-cache search [keyword]\nThe keyword that is used should match part of the name or description of the package that is to be located. Multiple keywords can be used to further clarify the search; for example, the search term web server would provide better results than web or server. \nTo find packages associated with the cow keyword: gambar 2  Once you've found the package that you want to install, you can install it with the apt-get install command: \nsudo apt-get install [package] gambar 3  UPDATING PACKAGES  The apt-get install command can also update a package, if that package is installed and a newer version is available. If the package is not already on the system, it would be installed; if it is on the system, it would be updated.\nUpdating all packages of the system should be done in two steps. First, update the cache of all packages available with apt-get update. Second, execute the apt-get upgrade command and all packages and dependencies will be updated. \napt-get update \napt-get upgrade gambar 4  REMOVING PACKAGES  The apt-get command is able to either remove or purge a package. The difference between the two is that purging deletes all package files, while removing deletes all but the configuration files for the package. \nAn administrator can execute the apt-get remove command to remove a package or the apt-get purge command to purge a package completely from the system.\napt-get remove [package] \napt-get purge [package] \nFor example, to purge cowsay completely, execute the following command. Enter Y when prompted: gambar 5  	[     {         "title": "Consider This",         "content": " The cowsay command is a configurable talking cow! Use a word or phrase as an argument: gambar 6  We recommend enclosing the argument in single quotes to prevent the shell from interpreting special characters. "     } ]	https://drive.google.com/file/d/1IwYAzOczziTxw_Bb4rqRaRviaQx3lCyD/view?usp=drive_link	https://drive.google.com/file/d/1UJG6pKp13D7q60FJkJ7EkzKIIxpGDhwr/view?usp=drive_link	https://drive.google.com/file/d/1DWiZol62fPoQWREK2H2kqu82A3Tj2zMx/view?usp=drive_link	https://drive.google.com/file/d/1qBVbB1GyKXGd0UgTvxAbjFgeymcqvgWg/view?usp=drive_link	https://drive.google.com/file/d/1ntoam2x4COw6QH1LuF1YtWBVwTiixWVp/view?usp=drive_link	https://drive.google.com/file/d/1VPs47oDCltmYPCGy-M7X0nQBIyO3dIRk/view?usp=drive_link														
96	Updating User Passwords	Updating User Passwords	UPDATING USER PASSWORDS  The passwd command is used to update a user’s password. Users can only change their own passwords, whereas the root user can update the password for any user.  passwd [OPTIONS] [USER]  For example, since we are logged in as the sysadmin user we can change the password for that account. Execute the passwd command. You will be prompted to enter the existing password once and the new password twice. For security reasons, no output is displayed while the password is being typed. The output is shown as follows: gambar 1  If the user wants to view status information about their password, they can use the -S option: gambar 2  The output fields are explained below: gambar 3  The root user can change the password of any user. If the root user wants to change the password for sysadmin, they would execute the following command: gambar 4	[     {         "title": "Follow Along",         "content": " Switch the root account using the following command. Use netlab123 as the password: gambar 5  Exit the root account using the exit command: gambar 6 "     } ]	https://drive.google.com/file/d/1bv1n0x59_TupQobktu-pM9Qk4uXSxJcR/view?usp=drive_link	https://drive.google.com/file/d/1QTwfTfKqlm07ZNJdMC342EyCikavbIq6/view?usp=drive_link	https://drive.google.com/file/d/1s__575MRyrEJZangWrXzGJJRRLxclW-f/view?usp=drive_link	https://drive.google.com/file/d/18vZqFW_VHceBKqewAYV-PsewYG3Kbc2r/view?usp=drive_link	https://drive.google.com/file/d/1dZlIygjW7pV_-O98pEQgAwKiMpq4ztW_/view?usp=drive_link	https://drive.google.com/file/d/1XSBGxkol4S2wC11rpdiqIA1F03J2k4GN/view?usp=drive_link														
