no	sub_topic	title	content	detail_content
11	Organizational Data	Types of Organizational Data		[     {         "title": "Traditional Data",         "content": "Traditional data is typically generated and maintained by all organizations, big and small. It includes the following: Transactional data such as details relating to buying and selling, production activities and basic organizational operations such as any information used to make employment decisions. Intellectual property such as patents, trademarks and new product plans, which allows an organization to gain economic advantage over its competitors. This information is often considered a trade secret and losing it could prove disastrous for the future of a company.Financial data such as income statements, balance sheets and cash flow statements, which provide insight into the health of a company."     },     {         "title": "Internet of Things (IoT) and Big Data",         "content": "IoT is a large network of physical objects, such as sensors, software and other equipment. All of these 'things' are connected to the Internet, with the ability to collect and share data. And given that storage options are expanding through the cloud and virtualization, it's no surprise that the emergence of IoT has led to an exponential growth in data, creating a new area of interest in technology and business called 'Big Data.'"     } ]
12	Organizational Data	The Cube	The McCumber Cube is a model framework created by John McCumber in 1991 to help organizations establish and evaluate information security initiatives by considering all of the related factors that impact them. This security model has three dimensions:  1. The foundational principles for protecting information systems. 2. The protection of information in each of its possible states. 3. The security measures used to protect data.	[     {         "title": "Confidentiality",         "content": "Confidentiality is a set of rules that prevents sensitive information from being disclosed to unauthorized people, resources and processes. Methods to ensure confidentiality include data encryption, identity proofing and two factor authentication."     },     {         "title": "Integrity",         "content": "Integrity ensures that system information or processes are protected from intentional or accidental modification. One way to ensure integrity is to use a hash function or checksum."     },     {         "title": "Availability",         "content": "Availability means that authorized users are able to access systems and data when and where needed and those that do not meet established conditions, are not. This can be achieved by maintaining equipment, performing hardware repairs, keeping operating systems and software up to date, and creating backups."     },     {         "title": "Processing",         "content": "Processing refers to data that is being used to perform an operation such as updating a database record (data in process)."     },     {         "title": "Storage",         "content": "Storage refers to data stored in memory or on a permanent storage device such as a hard drive, solid-state drive or USB drive (data at rest)."     },     {         "title": "Transmission",         "content": "Transmission refers to data traveling between information systems (data in transit)."     },     {         "title": "Awareness, training and education",         "content": "Awareness, training and education are the measures put in place by an organization to ensure that users are knowledgeable about potential security threats and the actions they can take to protect information systems."     },     {         "title": "Technology",         "content": "Technology refers to the software- and hardware-based solutions designed to protect information systems such as firewalls, which continuously monitor your network in search of possible malicious incidents."     },     {         "title": "Policy and procedure",         "content": "Policy and procedure refers to the administrative controls that provide a foundation for how an organization implements information assurance, such as incident response plans and best practice guidelines."     } ]
13	Organizational Data	Is This for Real?	Yes, phishing is very common and often works. For example, in August 2020, elite gaming brand Razer experienced a data breach which exposed the personal information of approximately 100,000 customers.  A security consultant discovered that a cloud cluster (a group of linked servers providing data storage, databases, networking, and software through the Internet), was misconfigured and exposed a segment of Razer’s infrastructure to the public Internet, resulting in a data leak.   It took Razer more than three weeks to secure the cloud instance from public access, during which time cybercriminals had access to customer information that could have been used in social engineering and fraud attacks, like the one you uncovered just now.   Organizations therefore need to take a proactive approach to cloud security to ensure that sensitive data is secured.	
14	Organizational Data	Data Security Breaches	The implications of a data security breach are severe, but they are becoming all too common.	[     {         "title": "The Persirai botnet",         "content": "In 2017, an Internet of Things (IoT) botnet, Persirai, targeted over 1,000 different models of Internet Protocol (IP) cameras, accessing open ports to inject a command that forced the cameras to connect to a site which installed malware on them. Once the malware was downloaded and executed, it deleted itself and was therefore able to run in memory to avoid detection. Over 122,000 of these cameras from several different manufacturers were hijacked and used to carry out distributed denial-of-service (DDoS) attacks, without the knowledge of their owners. A DDoS attack occurs when multiple devices infected with malware flood the resources of a targeted system.The IoT is connecting more and more devices, creating more opportunities for cybercriminals to attack."     },     {         "title": "Equifax Inc.",         "content": "In September 2017, Equifax, a consumer credit reporting agency in the United States, publicly announced a data breach event: Attackers had been able to exploit a vulnerability in its web application software to gain access to the sensitive personal data of millions of customers. In response to this breach, Equifax established a dedicated website that allowed Equifax customers to determine if their information was compromised. However, instead of using a subdomain of equifax.com, the company set up a new domain name, which allowed cybercriminals to create unauthorized websites with similar names. These websites were used to try and trick customers into providing personal information. Attackers could use this information to assume a customer’s identity. In such cases, it would be very difficult for the customer to prove otherwise, given that the hacker is also privy to their personal information."     } ]
15	Organizational Data	Consequences of a Security Breach	These examples show that the potential consequences of a security breach can be severe.	[     {         "title": "Reputational damage",         "content": "A security breach can have a negative long-term impact on an organization's reputation that has taken years to build. Customers, particularly those who have been adversely affected by the breach, will need to be notified and may seek compensation and/or turn to a reliable and secure competitor. Employees may also choose to leave in light of a scandal. Depending on the severity of a breach, it can take a long time to repair an organization's reputation."     },     {         "title": "Vandalism",         "content": "A hacker or hacking group may vandalize an organization's website by posting untrue information. They might even just make a few minor edits to your organization's phone number or address, which can be trickier to detect. In either case, online vandalism can portray unprofessionalism and have a negative impact on your organization's reputation and credibility."     },     {         "title": "Theft",         "content": "A data breach often involves an incident where sensitive personal data has been stolen. Cybercriminals can make this information public or exploit it to steal an individual's money and/or identity."     },     {         "title": "Loss of revenue",         "content": "The financial impact of a security breach can be devastating. For example, hackers can take down an organization's website, preventing it from doing business online. A loss of customer information may impede company growth and expansion. It may demand further investment in an organization's security infrastructure. And let's not forget that organizations may face large fines or penalties if they do not protect online data."     },     {         "title": "Damaged intellectual property",         "content": "A security breach could also have a devastating impact on the competitiveness of an organization, particularly if hackers are able to get their hands on confidential documents, trade secrets and intellectual property."     } ]
16	What was taken?	What Happened?		
17	What was taken?	What Exploits?	What exploits did the hackers use in this case to gain access to valuable personal information?  Hackers are targeting the increasing numbers of organizations who are migrating to the cloud or using cloud-based services and resources.  In this scenario, hackers were able to take advantage of an organization’s poor security practices. Unsecured cloud databases left exposed on the Internet present a huge vulnerability and one that attackers will seek to exploit to gain easy access to valuable organizational data.  	
18	Cyber Attackers	Types of Attackers	Let’s look at some of the main types of cyber attackers who’ll try anything to get their hands on our information. They are often categorized as white hat, gray hat or black hat attackers.	[     {         "title": "Amateurs",         "content": "The term 'script kiddies' emerged in the 1990s and refers to amateur or inexperienced hackers who use existing tools or instructions found on the Internet to launch attacks. Some script kiddies are just curious, others are trying to demonstrate their skills and cause harm. While script kiddies may use basic tools, their attacks can still have devastating consequences."     },     {         "title": "Hackers",         "content": "This group of attackers break into computer systems or networks to gain access. Depending on the intent of their break in, they can be classified as white, gray or black hat hackers."     },     {         "title": "Organized hackers",         "content": "These attackers include organizations of cyber criminals, hacktivists, terrorists and state-sponsored hackers. They are usually highly sophisticated and organized, and may even provide cybercrime as a service to other criminals. Hacktivists make political statements to create awareness about issues that are important to them. State-sponsored attackers gather intelligence or commit sabotage on behalf of their government. They are usually highly trained and well-funded and their attacks are focused on specific goals that are beneficial to their government."     } ]
19	Cyber Attackers	Internal and External Threats	Cyber attacks can originate from within an organization as well as from outside of it.	[     {         "title": "Internal",         "content": "Employees, contract staff or trusted partners can accidentally or intentionally: mishandle confidential data, facilitate outside attacks by connecting infected USB media into the organization's computer system, invite malware onto the organization's network by clicking on malicious emails or websites, threaten the operations of internal servers or network infrastructure devices."     },     {         "title": "External",         "content": "Amateurs or skilled attackers outside of the organization can: exploit vulnerabilities in the network, gain unauthorized access to computing devices, use social engineering to gain unauthorized access to organizational data."     } ]
20	Cyberwarfare	The Purpose of Cyberwarfare	The main reason for resorting to cyberwarfare is to gain advantage over adversaries, whether they are nations or competitors.	[     {         "title": "To gather compromised information and/or defense secrets",         "content": "A nation or international organization can engage in cyberwarfare in order to steal defense secrets and gather information about technology that will help narrow the gaps in its industries and military capabilities. Furthermore, compromised sensitive data can give attackers leverage to blackmail personnel within a foreign government."     },     {         "title": "To impact another nation's infrastructure",         "content": "Besides industrial and military espionage, a nation can continuously invade another nation's infrastructure in order to cause disruption and chaos. For example, a cyber attack could shut down the power grid of a major city. Consider the consequences if this were to happen; roads would be congested, the exchange of goods and services would be halted, patients would not be able to get the care they would need if an emergency occurred, access to the internet would be interrupted. By shutting down a power grid, a cyber attack could have a huge impact on the everyday life of ordinary citizens."     } ]
21	Analyzing a Cyber Attack	Types of Malware	Cybercriminals use many different types of malicious software, or malware, to carry out their activities. Malware is any code that can be used to steal data, bypass access controls, or cause harm to or compromise a system. Knowing what the different types are and how they spread is key to containing and removing them.	[     {         "title": "Spyware",         "content": "Designed to track and spy on you, spyware monitors your online activity and can log every key you press on your keyboard, as well as capture almost any of your data, including sensitive personal information such as your online banking details. Spyware does this by modifying the security settings on your devices. It often bundles itself with legitimate software or Trojan horses."     },     {         "title": "Adware",         "content": "Adware is often installed with some versions of software and is designed to automatically deliver advertisements to a user, most often on a web browser. You know it when you see it! It's hard to ignore when you're faced with constant pop-up ads on your screen. It is common for adware to come with spyware."     },     {         "title": "Backdoor",         "content": "This type of malware is used to gain unauthorized access by bypassing the normal authentication procedures to access a system. As a result, hackers can gain remote access to resources within an application and issue remote system commands. A backdoor works in the background and is difficult to detect."     },     {         "title": "Ransomware",         "content": "This malware is designed to hold a computer system or the data it contains captive until a payment is made. Ransomware usually works by encrypting your data so that you can't access it. Some versions of ransomware can take advantage of specific system vulnerabilities to lock it down. Ransomware is often spread through phishing emails that encourage you to download a malicious attachment or through a software vulnerability."     },     {         "title": "Scareware",         "content": "This is a type of malware that uses 'scare’ tactics to trick you into taking a specific action. Scareware mainly consists of operating system style windows that pop up to warn you that your system is at risk and needs to run a specific program for it to return to normal operation. If you agree to execute the specific program, your system will become infected with malware."     },     {         "title": "Rootkit",         "content": "This malware is designed to modify the operating system to create a backdoor, which attackers can then use to access your computer remotely. Most rootkits take advantage of software vulnerabilities to gain access to resources that normally shouldn't be accessible (privilege escalation) and modify system files. Rootkits can also modify system forensics and monitoring tools, making them very hard to detect. In most cases, a computer infected by a rootkit has to be wiped and any required software reinstalled."     },     {         "title": "Virus",         "content": "A virus is a type of computer program that, when executed, replicates and attaches itself to other executable files, such as a document, by inserting its own code. Most viruses require end-user interaction to initiate activation and can be written to act on a specific date or time. Viruses can be relatively harmless, such as those that display a funny image. Or they can be destructive, such as those that modify or delete data. Viruses can also be programmed to mutate in order to avoid detection. Most viruses are spread by USB drives, optical disks, network shares or email."     },     {         "title": "Trojan Horse",         "content": "This malware carries out malicious operations by masking its true intent. It might appear legitimate but is, in fact, very dangerous. Trojans exploit your user privileges and are most often found in image files, audio files or games. Unlike viruses, Trojans do not self-replicate but act as a decoy to sneak malicious software past unsuspecting users."     },     {         "title": "Worms",         "content": "This is a type of malware that replicates itself in order to spread from one computer to another. Unlike a virus, which requires a host program to run, worms can run by themselves. Other than the initial infection of the host, they do not require user participation and can spread very quickly over the network. Worms share similar patterns: They exploit system vulnerabilities, they have a way to propagate themselves, and they all contain malicious code (payload) to cause damage to computer systems or networks."     } ]
22	Analyzing a Cyber Attack	Symptoms of Malware	So now you know about the different kinds of malware. But what do you think their symptoms might be?  Regardless of the type of malware a system has been infected with, there are some common symptoms to look out for. These include:  •        an increase in central processing unit (CPU) usage, which slows down your device •        your computer freezing or crashing often •        a decrease in your web browsing speed •        unexplainable problems with your network connections •        modified or deleted files •        the presence of unknown files, programs or desktop icons •        unknown processes running •        programs turning off or reconfiguring themselves •        emails being sent without your knowledge or consent.	
23	Methods of Infiltration	Social Engineering	Social engineering is the manipulation of people into performing actions or divulging confidential information. Social engineers often rely on people’s willingness to be helpful, but they also prey on their weaknesses. For example, an attacker will call an authorized employee with an urgent problem that requires immediate network access and appeal to the employee’s vanity or greed or invoke authority by using name-dropping techniques in order to gain this access.	[     {         "title": "Pretexting",         "content": "This is when an attacker calls an individual and lies to them in an attempt to gain access to privileged data.For example, pretending to need a person's personal or financial data in order to confirm their identity."     },     {         "title": "Tailgating",         "content": "This is when an attacker quickly follows an authorized person into a secure, physical location."     },     {         "title": "Something for something (quid pro quo)",         "content": "This is when an attacker requests personal information from a person in exchange for something, like a free gift."     } ]
24	Methods of Infiltration	Denial-of-Service	Denial-of-Service (DoS) attacks are a type of network attack that is relatively simple to carry out, even by an unskilled attacker. A DoS attack results in some sort of interruption of network service to users, devices or applications.	[     {         "title": "Overwhelming quantity of traffic",         "content": "This is when a network, host or application is sent an enormous amount of data at a rate which it cannot handle. This causes a slowdown in transmission or response, or the device or service to crash."     },     {         "title": "Maliciously formatted packets",         "content": "A packet is a collection of data that flows between a source and a receiver computer or application over a network, such as the Internet. When a maliciously formatted packet is sent, the receiver will be unable to handle it. For example, if an attacker forwards packets containing errors or improperly formatted packets that cannot be identified by an application, this will cause the receiving device to run very slowly or crash."     } ]
25	Methods of Infiltration	Distributed DoS	A Distributed DoS (DDoS) attack is similar to a DoS attack but originates from multiple, coordinated sources. For example:  •        An attacker builds a network (botnet) of infected hosts called zombies, which are controlled by handler systems. •        The zombie computers will constantly scan and infect more hosts, creating more and more zombies. •        When ready, the hacker will instruct the handler systems to make the botnet of zombies carry out a DDoS attack.	
26	Methods of Infiltration	Botnet	A bot computer is typically infected by visiting an unsafe website or opening an infected email attachment or infected media file. A botnet is a group of bots, connected through the Internet, that can be controlled by a malicious individual or group. It can have tens of thousands, or even hundreds of thousands, of bots that are typically controlled through a command and control server.  These bots can be activated to distribute malware, launch DDoS attacks, distribute spam email, or execute brute-force password attacks. Cybercriminals will often rent out botnets to third parties for nefarious purposes.  Many organizations. like Cisco, force network activities through botnet traffic filters to identify any botnet locations.	
27	Methods of Infiltration	On-Path Attacks	On-path attackers intercept or modify communications between two devices, such as a web browser and a web server, either to collect information from or to impersonate one of the devices.  This type of attack is also referred to as a man-in-the-middle or man-in-the-mobile attack.	[     {         "title": "Man In The Middle (MITM)",         "content": "A MitM attack happens when a cybercriminal takes control of a device without the user's knowledge. With this level of access, an attacker can intercept and capture user information before it is sent to its intended destination. These types of attacks are often used to steal financial information. There are many types of malware that possess MitM attack capabilities."     },     {         "title": "Man In The Mobile (MITMO)",         "content": "A variation of man-in-middle, MitMo is a type of attack used to take control over a user's mobile device. When infected, the mobile device is instructed to exfiltrate user-sensitive information and send it to the attackers. ZeuS is one example of a malware package with MitMo capabilities. It allows attackers to quietly capture two-step verification SMS messages that are sent to users."     } ]
28	Methods of Infiltration	SEO Poisoning	You’ve probably heard of search engine optimization or SEO which, in simple terms, is about improving an organization’s website so that it gains greater visibility in search engine results.  Search engines such as Google work by presenting a list of web pages to users based on their search query. These web pages are ranked according to the relevancy of their content.  While many legitimate companies specialize in optimizing websites to better position them, attackers take advantage of popular search terms and use SEO to push malicious sites higher up the ranks of search results. This technique is called SEO poisoning.  The most common goal of SEO poisoning is to increase traffic to malicious sites that may host malware or attempt social engineering.	
29	Methods of Infiltration	Password Attacks	Entering a username and password is one of the most popular forms of authenticating to a web site. Therefore, uncovering your password is an easy way for cybercriminals to gain access to your most valuable information.	[     {         "title": "Password spraying",         "content": "This technique attempts to gain access to a system by 'spraying' a few commonly used passwords across a large number of accounts. For example, a cybercriminal uses 'Password123' with many usernames before trying again with a second commonly-used password, such as 'qwerty.' This technique allows the perpetrator to remain undetected as they avoid frequent account lockouts."     },     {         "title": "Dictionary attacks",         "content": "A hacker systematically tries every word in a dictionary or a list of commonly used words as a password in an attempt to break into a password-protected account."     },     {         "title": "Brute-force attacks",         "content": "The simplest and most commonly used way of gaining access to a password-protected site, brute-force attacks see an attacker using all possible combinations of letters, numbers and symbols in the password space until they get it right."     },     {         "title": "Rainbow attacks",         "content": "Passwords in a computer system are not stored as plain text, but as hashed values (numerical values that uniquely identify data). A rainbow table is a large dictionary of precomputed hashes and the passwords from which they were calculated. Unlike a brute-force attack that has to calculate each hash, a rainbow attack compares the hash of a password with those stored in the rainbow table. When an attacker finds a match, they identify the password used to create the hash."     },     {         "title": "Traffic interception",         "content": "Plain text or unencrypted passwords can be easily read by other humans and machines by intercepting communications. If you store a password in clear, readable text, anyone who has access to your account or device, whether authorized or unauthorized, can read it."     } ]
30	Methods of Infiltration	Advanced Persistent Threats	Attackers also achieve infiltration through advanced persistent threats (APTs) — a multi-phase, long term, stealthy and advanced operation against a specific target. For these reasons, an individual attacker often lacks the skill set, resources or persistence to perform APTs.  Due to the complexity and the skill level required to carry out such an attack, an APT is usually well-funded and typically targets organizations or nations for business or political reasons.  Its main purpose is to deploy customized malware on one or more of the target’s systems and remain there undetected.	
31	Security Vulnerability and Exploits	Hardware Vulnerabilities	Hardware vulnerabilities are most often the result of hardware design flaws. For example, the type of memory called RAM basically consists of lots of capacitors (a component which can hold an electrical charge) installed very close to one another. However, it was soon discovered that, due to their close proximity, changes applied to one of these capacitors could influence neighbor capacitors. Based on this design flaw, an exploit called Rowhammer was created. By repeatedly accessing (hammering) a row of memory, the Rowhammer exploit triggers electrical interferences that eventually corrupt the data stored inside the RAM.  Google security researchers discovered Meltdown and Spectre, two hardware vulnerabilities that affect almost all central processing units (CPUs) released since 1995 within desktops, laptops, servers, smartphones, smart devices and cloud services.  Attackers exploiting these vulnerabilities can read all memory from a given system (Meltdown), as well as data handled by other applications (Spectre). The Meltdown and Spectre vulnerability exploitations are referred to as side-channel attacks (information is gained from the implementation of a computer system). They have the ability to compromise large amounts of memory data because the attacks can be run multiple times on a system with very little possibility of a crash or other error.  Hardware vulnerabilities are specific to device models and are not generally exploited through random compromising attempts. While hardware exploits are more common in highly targeted attacks, traditional malware protection and good physical security are sufficient protection for the everyday user.	
32	Security Vulnerability and Exploits	Software Vulnerabilities	Software vulnerabilities are usually introduced by errors in the operating system or application code.  The SYNful Knock vulnerability allowed attackers to gain control of enterprise-grade routers, such as the legacy Cisco ISR routers, from which they could monitor all network communication and infect other network devices.  This vulnerability was introduced into the system when an altered IOS version was installed on the routers. To avoid this, you should always verify the integrity of the downloaded IOS image and limit the physical access of such equipment to authorized personnel only.	
33	Security Vulnerability and Exploits	Categorizing Software Vulnerabilities	Most software security vulnerabilities fall into several main categories.	[     {         "title": "Buffer overflow",         "content": "Buffers are memory areas allocated to an application. A vulnerability occurs when data is written beyond the limits of a buffer. By changing data beyond the boundaries of a buffer, the application can access memory allocated to other processes. This can lead to a system crash or data compromise, or provide escalation of privileges."     },     {         "title": "Non-validated input",         "content": "Programs often require data input, but this incoming data could have malicious content, designed to force the program to behave in an unintended way. For example, consider a program that receives an image for processing. A malicious user could craft an image file with invalid image dimensions. The maliciously crafted dimensions could force the program to allocate buffers of incorrect and unexpected sizes."     },     {         "title": "Race conditions",         "content": "This vulnerability describes a situation where the output of an event depends on ordered or timed outputs. A race condition becomes a source of vulnerability when the required ordered or timed events do not occur in the correct order or at the proper time."     },     {         "title": "Weaknesses in security practices",         "content": "Systems and sensitive data can be protected through techniques such as authentication, authorization and encryption. Developers should stick to using security techniques and libraries that have already been created, tested and verified and should not attempt to create their own security algorithms. These will only likely introduce new vulnerabilities."     },     {         "title": "Access control problems",         "content": "Access control is the process of controlling who does what and ranges from managing physical access to equipment to dictating who has access to a resource, such as a file, and what they can do with it, such as read or change the file. Many security vulnerabilities are created by the improper use of access controls."     } ]
34	Security Vulnerability and Exploits	Software Updates	The goal of software updates is to stay current and avoid exploitation of vulnerabilities. Microsoft, Apple and other operating system producers release patches and updates almost every day and applications such as web browsers, mobile apps and web servers are often updated by the companies or organizations responsible for them.  Despite the fact that organizations put a lot of effort into finding and patching software vulnerabilities, new vulnerabilities are discovered regularly. That’s why some organizations use third party security researchers who specialize in finding vulnerabilities in software, or actually invest in their own penetration testing teams dedicated to search, find and patch software vulnerabilities before they can get exploited.	
35	The Cybersecurity Landscape	Cryptocurrency	Cryptocurrency is digital money that can be used to buy goods and services, using strong encryption techniques to secure online transactions. Banks, governments and even companies like Microsoft and AT&T are very aware of its importance and are jumping on the cryptocurrency bandwagon!	[     {         "title": "Send",         "content": "Cryptocurrency owners keep their money in encrypted, virtual 'wallets.' When a transaction takes place between the owners of two digital wallets, the details are recorded in a decentralized, electronic ledger or blockchain system. This means it is carried out with a degree of anonymity and is self-managed, with no interference from third parties such as central banks or government entities."     },     {         "title": "Mining",         "content": "Approximately every ten minutes, special computers collect data about the latest cryptocurrency transactions, turning them into mathematical puzzles to maintain confidentiality. These transactions are then verified through a technical and highly complex process known as 'mining.' This step typically involves an army of ‘miners’ working on high-end PCs to solve mathematical puzzles and authenticate transactions."     },     {         "title": "Transaction",         "content": "Once verified, the ledger is updated and electronically copied and disseminated worldwide to anyone belonging to the blockchain network, effectively completing a transaction."     } ]
36	The Cybersecurity Landscape	Cryptojacking	Cryptojacking is an emerging threat that hides on a user’s computer, mobile phone, tablet, laptop or server, using that machine’s resources to 'mine’ cryptocurrencies without the user's consent or knowledge.  Many victims of cryptojacking didn’t even know they’d been hacked until it was too late!	
